P1,P2,P3
222.5,200.1666667,121.1666667
311.1666667,225.75,213.0833333
254.9166667,246.9166667,198.1666667
283.75,227.25,186.75
151.25,171.5833333,124.9166667
172,197.0833333,147
264.4166667,235.75,200.5833333
273.5833333,233.0833333,217.1666667
257,241.0833333,181.6666667
231.25,204.75,152.75
262.8333333,231.0833333,207.3333333
298.1666667,243.6666667,201
152.25,211.6666667,150.8333333
187.3333333,197.8333333,156.25
248.1666667,214.1666667,180.3333333
197.5,214.75,137.1666667
273.6666667,213.5,169.8333333
200,205.0833333,157.5
227.5,211.25,160.75
207.0833333,188.5833333,146.6666667
251.75,172.9166667,157.9166667
156.5833333,128.9166667,120.0833333
200.75,147.9166667,162.8333333
240,232.0833333,197.4166667
299.0833333,262.3333333,166.3333333
186.1666667,180.6666667,149.1666667
224,200.5833333,178.75
211.75,195.0833333,159.4166667
240.9166667,188.6666667,197
278.8333333,240.4166667,219.25
230.75,242.4166667,200.9166667
200.5833333,139.3333333,143.9166667
257.5,225.5833333,189.6666667
257.9166667,238.4166667,234.3333333
270.25,222.5833333,193.4166667
219.6666667,245.25,193.9166667
187.6666667,196.75,148.8333333
252,215.5,188.3333333
262.4166667,242,186.8333333
250.3333333,217.6666667,184.5
193.25,177.5833333,151.3333333
211.1666667,182.4166667,132.9166667
247.6666667,238.75,181.9166667
