"filename", "language", "JavaScript", "Vue.js", "Less", "Markdown", "JSON", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\zyq\Desktop\我的网站\(前端)man\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\zyq\Desktop\我的网站\(前端)man\aatest\test.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 8, 44, 126
"c:\Users\zyq\Desktop\我的网站\(前端)man\aatest\test.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\zyq\Desktop\我的网站\(前端)man\api\axios.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 9, 6, 50
"c:\Users\zyq\Desktop\我的网站\(前端)man\api\data.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 12, 8, 46
"c:\Users\zyq\Desktop\我的网站\(前端)man\api\mock.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\zyq\Desktop\我的网站\(前端)man\api\mockServeData\home.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 8, 4, 143
"c:\Users\zyq\Desktop\我的网站\(前端)man\api\mockServeData\tablelist.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\zyq\Desktop\我的网站\(前端)man\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\zyq\Desktop\我的网站\(前端)man\config\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\zyq\Desktop\我的网站\(前端)man\package-lock.json", "JSON", 0, 0, 0, 0, 29202, 0, 0, 0, 0, 1, 29203
"c:\Users\zyq\Desktop\我的网站\(前端)man\package.json", "JSON", 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 79
"c:\Users\zyq\Desktop\我的网站\(前端)man\public\files\thumbnails.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\zyq\Desktop\我的网站\(前端)man\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 17, 5, 42
"c:\Users\zyq\Desktop\我的网站\(前端)man\router\index.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 5, 4, 114
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\App.vue", "Vue.js", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 288
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\less\common.less", "Less", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\less\home.less", "Less", 0, 0, 66, 0, 0, 0, 0, 0, 8, 11, 85
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\less\index.less", "Less", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\assets\less\reset.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\components\CommonAside.vue", "Vue.js", 0, 161, 0, 0, 0, 0, 0, 0, 4, 5, 170
"c:\Users\zyq\Desktop\我的网站\(前端)man\src\components\CommonHeader.vue", "Vue.js", 0, 114, 0, 0, 0, 0, 0, 0, 1, 1, 116
